Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
24.05.2016;58;58;58;58;0;10;10;NaN;10;1000;0;0
20.05.2016;53;56;52;56;53;108000;110;57210;108000;1000;4;3
19.05.2016;58;58;54;54;56;221170;60;123960;221170;1000;4;-4
18.05.2016;57;6;56;56;6;206920;100;123770;206920;1000;4;-1
17.05.2016;58;58;58;58;NaN;5000;10;2900;5000;1000;0;0
16.05.2016;56;56;56;56;56;27100;10;15170;27100;1000;0;0
13.05.2016;56;56;56;56;56;56350;30;31550;56350;1000;0;0
12.05.2016;58;58;57;57;57;80000;60;45650;80000;1000;1;-1
10.05.2016;57;6;57;6;59;242510;60;142030;242510;1000;3;3
09.05.2016;64;64;58;58;62;86690;70;53640;86690;1000;6;-6
06.05.2016;61;61;61;61;61;280000;30;170800;280000;1000;0;0
05.05.2016;64;64;58;64;NaN;71950;110;45620;71950;1000;6;0
04.05.2016;61;62;61;61;61;194160;170;118480;194160;1000;1;0
03.05.2016;64;64;64;64;64;95090;70;60850;95090;1000;0;0
29.04.2016;67;67;67;67;67;170920;60;114510;170920;NaN;0;0
28.04.2016;7;7;7;7;7;900;10;630;900;1000;0;0
27.04.2016;73;73;73;73;73;40000;20;29200;40000;1000;0;0
26.04.2016;73;73;73;73;73;45570;40;33260;45570;1000;0;0
25.04.2016;76;76;76;76;76;10000;10;7600;10000;1000;0;0
21.04.2016;76;79;76;79;76;55000;20;41950;55000;1000;3;3
20.04.2016;76;76;76;76;76;1000;10;760;1000;1000;0;0
18.04.2016;73;73;73;73;73;28000;60;20440;28000;1000;0;0
13.04.2016;7;7;7;7;7;179000;10;125300;179000;1000;0;0
12.04.2016;67;67;67;67;67;1000;10;670;1000;NaN;0;0
11.04.2016;69;69;69;69;69;15000;10;NaN;15000;1000;0;0
08.04.2016;72;72;66;66;69;355000;310;245950;355000;1000;6;-6
07.04.2016;65;7;64;69;66;347450;60;227740;347450;1000;6;4
06.04.2016;62;67;62;67;63;3900;20;2460;3900;1000;5;5
05.04.2016;64;67;64;64;64;478800;340;307780;478800;1000;3;0
04.04.2016;67;67;67;67;67;3900;10;2610;3900;1000;0;0
31.03.2016;76;76;7;7;NaN;21110;50;15590;21110;1000;6;-6
30.03.2016;73;79;73;73;73;114120;100;83340;114120;1000;6;0
29.03.2016;76;76;76;76;76;13000;10;9880;13000;1000;0;0
28.03.2016;8;8;79;79;79;22900;100;18100;22900;1000;1;-1
23.03.2016;83;83;83;83;83;15000;20;12450;15000;1000;0;0
22.03.2016;83;83;83;83;83;6910;20;5730;6910;1000;0;0
21.03.2016;85;85;8;NaN;82;3010;40;2460;3010;1000;5;-1
18.03.2016;84;84;81;81;81;10690;40;8660;10690;1000;3;-3
17.03.2016;74;8;74;8;74;100100;20;74080;100100;1000;6;6
16.03.2016;77;77;71;77;71;30020;40;21310;30020;1000;6;0
15.03.2016;74;74;74;74;74;496800;150;367630;496800;1000;0;0
14.03.2016;72;77;71;77;71;263010;130;187380;263010;1000;6;5
11.03.2016;74;74;74;74;74;74000;40;54760;74000;1000;0;0
10.03.2016;77;77;77;77;77;18070;40;13910;18070;1000;NaN;0
09.03.2016;84;84;76;81;76;397610;200;302300;397610;1000;8;-3
08.03.2016;86;88;8;8;8;15020;60;NaN;15020;1000;8;-6
04.03.2016;84;84;84;84;84;9610;60;8070;9610;1000;0;0
03.03.2016;88;88;88;88;86;590;10;510;590;1000;0;
02.03.2016;87;87;86;86;86;10590;20;9110;10590;1000;1;-1
01.03.2016;86;86;78;85;83;123020;70;102400;123020;1000;8;-1
29.02.2016;87;87;82;82;83;5340;60;4440;5340;1000;5;-5
26.02.2016;87;87;86;86;86;1260;50;1080;1260;1000;1;-1
25.02.2016;81;85;77;83;78;13320;110;10340;13320;1000;8;2
24.02.2016;84;84;81;81;82;100010;30;82500;100010;1000;3;-3
23.02.2016;8;81;75;8;79;280;50;220;280;1000;6;0
22.02.2016;78;8;74;78;77;333030;140;255100;333030;1000;6;0
19.02.2016;78;78;72;77;74;26590;140;19760;26590;1000;6;-1
18.02.2016;72;75;72;75;71;1010;20;720;1010;1000;3;3
17.02.2016;72;72;72;72;72;199600;100;143710;199600;1000;0;0
15.02.2016;76;76;7;75;7;7950;70;5560;7950;1000;6;-1
12.02.2016;79;79;73;73;75;175510;60;131690;175510;1000;6;-6
11.02.2016;76;82;76;76;76;156730;140;119120;156730;1000;6;0
10.02.2016;87;87;79;79;79;540160;90;429130;540160;1000;8;-8
09.02.2016;89;89;82;83;83;13520;70;11190;13520;1000;7;-6
