Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
10.03.2015;18;189;18;189;1.80E+11;10700;550;19300;10700;1000;9;9
03.03.2015;189;189;189;189;189;1000;20;1890;1000;1000;0;0
02.03.2015;187;187;187;187;185;400;80;NaN;400;1000;0;0
28.02.2015;18;18;18;18;18;5250;80;9450;5250;1000;0;0
27.02.2015;173;173;158;172;1.61E+11;8300;370;13390;8300;1000;15;-1
26.02.2015;152;166;152;166;1.52E+11;968910;90;1472880;968910;1000;14;14
23.02.2015;159;159;159;159;159;25000;40;39750;25000;1000;0;0
20.02.2015;167;167;167;167;16;100;20;160;100;1000;0;0
19.02.2015;16;16;16;16;16;500;20;800;500;1000;0;0
16.02.2015;15;154;15;154;1.54E+11;106070;140;162990;106070;1000;4;4
13.02.2015;15;15;148;148;148064;31250;80;46270;31250;1000;2;-2
12.02.2015;149;149;149;149;125;40;40;50;40;1000;0;0
11.02.2015;146;146;146;146;146;10000;20;14600;10000;1000;0;0
10.02.2015;145;155;145;145;1454;25000;120;36350;25000;1000;1;0
09.02.2015;15;156;15;152;1.51E+11;32330;120;48780;32330;1000;6;2
06.02.2015;154;154;149;149;1.51E+11;31000;300;46740;31000;1000;5;-5
05.02.2015;147;147;147;147;147;1000;20;1470;1000;1000;0;0
04.02.2015;139;142;139;14;1.40E+11;151000;140;211780;151000;1000;3;1
03.02.2015;136;136;136;136;136;20000;60;27200;20000;1000;0;0
02.02.2015;123;134;123;132;1.30E+11;140000;250;181410;140000;1000;11;9
28.01.2015;129;129;129;129;129;1000;20;1290;1000;1000;0;0
27.01.2015;124;124;114;123;1.17E+11;36400;110;42600;36400;1000;1;-1
23.01.2015;121;121;113;119;1.14E+11;234290;120;267830;234290;1000;8;-2
22.01.2015;117;12;115;118;1.18E+11;205000;210;241010;205000;1000;5;1
21.01.2015;109;119;109;116;1.13E+11;109600;280;123700;109600;1000;1;7
20.01.2015;106;116;106;114;1.12E+11;1006320;730;1130710;1006320;1000;1;8
19.01.2015;121;121;111;111;1.18E+11;6880;140;8130;6880;1000;1;-1
16.01.2015;114;126;114;116;1.15E+11;60020;220;68970;60020;1000;12;2
15.01.2015;11;12;11;12;1.10E+11;107000;220;118150;107000;1000;1;1
14.01.2015;12;12;115;115;1.15E+11;11440;80;13210;11440;1000;5;-5
13.01.2015;113;122;113;121;1.15E+11;178880;510;206240;178880;1000;9;8
12.01.2015;118;129;118;118;1.18E+11;203030;210;239570;203030;1000;11;0
09.01.2015;115;127;115;124;11719542228;69030;270;80900;69030;1000;12;9
08.01.2015;122;131;121;121;1.21E+11;924660;990;1120840;924660;1000;1;-1
07.01.2015;127;127;127;127;1.27E+11;76500;240;97150;76500;1000;0;0
06.01.2015;134;134;133;133;1.33E+11;283000;180;376440;283000;1000;1;-1
05.01.2015;138;152;138;139;1.44E+11;50500;150;72550;50500;1000;14;1
02.01.2015;145;159;145;145;1.57E+11;123000;130;192890;123000;1000;14;0
01.01.2015;159;159;152;152;157;7000;40;10990;7000;1000;7;-7
31.12.2014;153;164;153;16;1.53E+11;114000;290;174510;114000;1000;11;7
30.12.2014;165;165;161;161;1.61E+11;6560;460;10590;6560;1000;4;-4
29.12.2014;159;159;155;158;1.58E+11;216050;500;341320;216050;1000;4;-1
26.12.2014;152;152;152;152;1.52E+11;165310;630;251270;165310;1000;0;0
24.12.2014;16;16;16;16;16;200000;20;320000;200000;1000;0;0
23.12.2014;177;177;161;161;16876516843;206020;170;347690;206020;1000;16;-16
22.12.2014;176;176;169;169;1.70E+11;22060;650;37420;22060;1000;7;-7
19.12.2014;182;182;169;169;1.69E+11;202500;140;342370;202500;1000;13;-13
18.12.2014;162;174;162;174;1.62E+11;201000;60;325740;201000;1000;12;12
17.12.2014;169;17;169;17;16900049975;200100;100;338170;200100;1000;1;1
16.12.2014;169;173;164;171;1.66E+11;25720;4320;42810;25720;1000;9;2
15.12.2014;163;165;163;165;1.65E+11;42000;130;69240;42000;1000;2;2
12.12.2014;168;168;161;164;1.65E+11;10260;3410;16920;10260;1000;7;-4
11.12.2014;176;177;161;161;1.71E+11;338780;1250;578260;338780;1000;16;-15
10.12.2014;154;169;154;169;15403695267;39510;410;60860;39510;1000;15;15
09.12.2014;162;163;149;162;15558496853;540200;1680;840470;540200;1000;14;0
08.12.2014;158;158;144;156;1.49E+11;22810;2370;34000;22810;1000;14;-2
05.12.2014;15;151;15;151;1.51E+11;316640;220;478100;316640;1000;1;1
04.12.2014;144;144;144;144;144;64000;90;92160;64000;1000;0;0
03.12.2014;164;164;151;151;1.62E+11;240960;200;390400;240960;1000;13;-13
02.12.2014;165;174;158;158;1.63E+11;91300;340;148390;91300;1000;16;-7
01.12.2014;166;166;166;166;1.66E+11;212100;220;352080;212100;1000;0;0
28.11.2014;167;175;159;159;1.66E+11;229000;160;380510;229000;1000;16;-8
27.11.2014;167;18;167;167;1.68E+11;334000;240;560200;334000;1000;13;0
26.11.2014;161;176;161;175;1.75E+11;469000;280;819230;469000;1000;15;14
25.11.2014;169;17;154;169;1.68E+11;220100;150;369270;220100;1000;16;0
24.11.2014;162;162;162;162;162;7000;180;11340;7000;1000;0;0
21.11.2014;154;17;154;17;1.69E+11;154000;750;259820;154000;1000;16;16
20.11.2014;178;178;162;162;1.62E+11;91610;300;148500;91610;1000;16;-16
19.11.2014;154;17;154;17;1.61E+11;241120;770;387720;241120;1000;16;16
18.11.2014;172;172;158;162;1.60E+11;37950;420;60750;37950;1000;14;-1
17.11.2014;153;168;153;166;1.62E+11;23500;250;38050;23500;1000;15;13
14.11.2014;161;161;161;161;161;15000;220;24150;15000;1000;0;0
13.11.2014;153;169;153;169;1.53E+11;53360;2780;81730;53360;1000;16;16
12.11.2014;162;162;161;161;1.61E+11;27200;120;43840;27200;1000;1;-1
11.11.2014;154;169;154;169;1.54E+11;709100;1020;1093510;709100;1000;15;15
10.11.2014;162;162;162;162;1.62E+11;21100;2380;34180;21100;1000;0;0
07.11.2014;17;17;17;17;1.70E+11;31010;80;52710;31010;1000;0;0
05.11.2014;178;178;178;178;1.78E+11;42300;60;75290;42300;1000;0;0
03.11.2014;187;187;187;187;187;1000;20;1870;1000;1000;0;0
30.10.2014;196;196;196;196;196;10000;20;19600;10000;1000;0;0
29.10.2014;206;206;206;206;206;106000;70;218360;106000;1000;0;0
28.10.2014;216;216;216;216;2.16E+11;50100;120;108210;50100;1000;0;0
23.10.2014;208;208;206;206;2.07E+11;1700;60;3520;1700;1000;2;-2
22.10.2014;199;199;199;199;199;18000;40;35820;18000;1000;0;0
21.10.2014;209;209;209;209;2.09E+11;5600;40;11700;5600;1000;0;0
17.10.2014;22;22;22;22;22;100;20;220;100;1000;0;0
16.10.2014;214;214;196;212;1.96E+11;50300;80;98630;50300;1000;18;-2
14.10.2014;206;206;206;206;206;500;20;1030;500;1000;0;0
13.10.2014;189;198;18;197;1.93E+11;62510;540;120700;62510;1000;18;8
10.10.2014;189;189;172;189;1.87E+11;250510;320;469060;250510;1000;17;0
09.10.2014;174;181;174;181;175;280;90;490;280;1000;7;7
07.10.2014;174;174;174;174;174;5000;20;8700;5000;1000;0;0
01.10.2014;166;166;166;166;1.66E+11;10550;1280;17510;10550;1000;0;0
30.09.2014;16;174;159;174;1.73E+11;105100;110;182100;105100;1000;15;14
29.09.2014;167;167;167;167;167;81000;370;135270;81000;1000;0;0
26.09.2014;172;181;172;175;1.76E+11;21430;640;37800;21430;1000;9;3
25.09.2014;181;181;181;181;1.81E+11;3830;900;6930;3830;1000;0;0
23.09.2014;19;19;19;19;19;35000;2980;66500;35000;1000;0;0
19.09.2014;185;20;185;20;NaN;67000;1050;128190;67000;1000;15;15
18.09.2014;179;197;179;194;1.88E+11;41670;3540;78200;41670;1000;18;15
17.09.2014;172;19;172;188;1.75E+11;57140;2150;99880;57140;1000;18;16
16.09.2014;181;181;181;181;1.81E+11;275150;900;498020;275150;1000;0;0
15.09.2014;19;19;19;19;1.90E+11;66650;1190;126630;66650;1000;0;0
12.09.2014;199;199;199;199;1.99E+11;20980;280;41750;20980;1000;0;0
11.09.2014;209;209;209;209;2.09E+11;2100;60;4380;2100;1000;0;0
09.09.2014;199;219;199;219;204;8000;460;16320;8000;1000;2;2
04.09.2014;209;229;209;209;2.09E+11;210260;120;439490;210260;1000;2;0
02.09.2014;204;219;204;219;2.04E+11;205000;80;418950;205000;1000;15;15
28.08.2014;218;218;214;214;2.14E+11;10010;40;21420;10010;1000;4;-4
27.08.2014;212;212;209;209;2.09E+11;2010;40;4200;2010;1000;3;-3
26.08.2014;202;202;202;202;202;5000;20;10100;5000;1000;0;0
25.08.2014;203;212;203;212;2048;5000;40;10240;5000;1000;9;9
22.08.2014;22;22;203;203;2.07E+11;631020;180;1304710;631020;1000;17;-17
21.08.2014;195;213;195;213;195625;1600;60;3130;1600;1000;18;18
20.08.2014;224;225;205;205;2.05E+11;482010;380;990290;482010;1000;2;-19
19.08.2014;197;215;197;215;1.98E+11;2100;40;4150;2100;1000;18;18
18.08.2014;198;207;198;207;2.06E+11;421200;180;867790;421200;1000;9;9
14.08.2014;198;198;198;198;198;83000;140;164340;83000;1000;0;0
13.08.2014;20;206;20;206;2.06E+11;437600;300;899300;437600;1000;6;6
12.08.2014;20;209;20;205;2.04E+11;23000;160;46840;23000;1000;9;5
11.08.2014;217;217;20;21;2.06E+11;300010;100;617520;300010;1000;17;-7
08.08.2014;207;207;207;207;20;110;40;220;110;1000;0;0
07.08.2014;205;205;19;202;2.03E+11;411550;510;836950;411550;1000;15;-3
06.08.2014;199;20;188;20;19584869451;198010;540;387800;198010;1000;12;1
05.08.2014;18;191;18;191;1.90E+11;996470;1080;1891020;996470;1000;11;11
04.08.2014;17;184;17;182;1.71E+11;6160;1840;10520;6160;1000;14;12
01.08.2014;176;176;16;176;1.75E+11;596200;660;1046260;596200;1000;16;0
31.07.2014;168;168;152;168;1.64E+11;142100;680;233440;142100;1000;16;0
30.07.2014;148;16;148;16;1.50E+11;1403690;3150;2099860;1403690;1000;12;12
28.07.2014;155;155;155;155;1.55E+11;8760;80;13570;8760;1000;0;0
25.07.2014;163;175;163;163;1.75E+11;406000;160;709780;406000;1000;12;0
24.07.2014;156;171;156;171;1.56E+11;59000;140;92190;59000;1000;15;15
23.07.2014;178;178;164;164;1731744;625000;330;1082340;625000;1000;14;-14
22.07.2014;172;172;172;172;172;1000;20;1720;1000;1000;0;0
21.07.2014;168;184;168;181;1.82E+11;234400;900;427410;234400;1000;16;13
18.07.2014;16;176;16;176;1.73E+11;190500;260;328800;190500;1000;16;16
17.07.2014;168;168;168;168;168;11000;120;18480;11000;1000;0;0
16.07.2014;176;176;176;176;176;73000;300;128480;73000;1000;0;0
15.07.2014;185;185;185;185;185;330000;730;610500;330000;1000;0;0
14.07.2014;194;194;194;194;194;10000;450;19400;10000;1000;0;0
11.07.2014;186;204;186;204;1.86E+11;165550;4400;308080;165550;1000;18;18
10.07.2014;195;195;195;195;195;2000;90;3900;2000;1000;0;0
09.07.2014;205;205;205;205;20495049505;5050;1500;10350;5050;1000;0;0
08.07.2014;215;237;215;215;2.17E+11;18500;140;40210;18500;1000;22;0
07.07.2014;226;226;NaN;226;226;5000;20;11300;5000;1000;0;0
03.07.2014;238;238;237;237;2.38E+11;201000;120;478370;201000;1000;1;-1
02.07.2014;234;234;234;234;234;5000;20;11700;5000;1000;0;0
01.07.2014;211;228;211;228;2263;10000;40;22630;10000;1000;17;17
30.06.2014;224;224;222;222;2.22E+11;210000;80;466400;210000;1000;2;-2
27.06.2014;212;23;212;229;2.26E+11;12750;100;28870;12750;1000;18;17
26.06.2014;205;223;205;223;2.20E+11;199000;730;437700;199000;1000;18;18
25.06.2014;207;214;207;214;2.13E+11;162100;1350;346040;162100;1000;7;7
24.06.2014;217;217;217;217;217;7000;510;15190;7000;1000;0;0
23.06.2014;216;216;196;212;2.06E+11;167280;NaN;345090;167280;1000;2;-4
20.06.2014;206;206;206;206;2.06E+11;11650;410;23990;11650;NaN;0;0
19.06.2014;209;216;209;216;21425;80000;3080;171400;80000;1000;7;7
18.06.2014;205;219;205;219;2.16E+11;1900;330;4100;1900;1000;14;14
17.06.2014;203;217;203;215;2.14E+11;107220;3320;229680;107220;1000;14;12
13.06.2014;208;213;208;213;2.12E+11;174000;1690;368120;174000;1000;5;5
12.06.2014;204;22;204;206;2.12E+11;65680;3150;139290;65680;1000;16;2
11.06.2014;209;23;209;214;2.19E+11;224300;420;490740;224300;1000;21;5
10.06.2014;218;224;211;22;2.19E+11;242000;300;530790;242000;1000;13;2
09.06.2014;20;218;20;214;2.16E+11;693830;460;1498840;693830;1000;18;14
06.06.2014;206;216;206;208;2.09E+11;18350;220;38280;18350;1000;1;2
05.06.2014;211;211;197;206;2.01E+11;141110;220;283110;141110;1000;14;-5
04.06.2014;20;212;199;207;2.09E+11;569990;740;1189580;569990;1000;13;7
03.06.2014;192;202;192;202;1.92E+11;20200;1500;38800;20200;1000;1;1
02.06.2014;203;21;192;203;2074704057;87010;640;180520;87010;1000;18;0
30.05.2014;204;204;203;203;2034;25000;40;50850;25000;1000;1;-1
29.05.2014;196;204;186;204;19976891801;341870;750;682950;341870;NaN;18;8
28.05.2014;18;195;179;195;1.90E+11;736000;NaN;1397260;736000;1000;16;15
27.05.2014;198;206;188;188;19446946284;679500;410;1321420;679500;1000;18;-1
26.05.2014;189;198;18;197;1.94E+11;341500;550;662420;341500;1000;18;8
23.05.2014;189;199;189;189;1.94E+11;510250;210;987370;510250;1000;1;0
22.05.2014;215;215;198;198;1.99E+11;72000;140;143070;72000;1000;17;-17
21.05.2014;227;227;208;208;20824742268;4850;40;10100;4850;1000;19;-19
19.05.2014;218;218;198;218;21384083045;11560;100;24720;11560;1000;2;0
16.05.2014;212;212;208;208;2.10E+11;53500;60;112380;53500;1000;4;-4
15.05.2014;218;218;218;218;21;100;20;210;100;1000;0;0
14.05.2014;205;21;205;21;2.09E+11;17200;100;36020;17200;1000;5;5
13.05.2014;203;215;203;214;2.10E+11;169470;310;355420;169470;1000;12;11
12.05.2014;21;213;21;213;2.12E+11;60000;80;127450;60000;1000;3;3
09.05.2014;211;219;199;21;2.09E+11;88400;200;185090;88400;1000;2;-1
08.05.2014;213;213;194;209;1.95E+11;273120;240;533920;273120;1000;19;-4
07.05.2014;203;204;187;204;1.92E+11;372020;280;716130;372020;1000;17;1
06.05.2014;197;197;188;196;1.88E+11;424010;240;797880;424010;1000;9;-1
05.05.2014;198;199;197;197;1.99E+11;242500;230;482330;242500;1000;2;-1
02.05.2014;21;21;19;19;1.90E+11;10030;80;19060;10030;1000;2;-2
30.04.2014;203;203;193;20;2.02E+11;34990;130;70540;34990;1000;1;-3
29.04.2014;193;194;193;194;1936;5000;80;9680;5000;1000;1;1
28.04.2014;184;185;181;NaN;1.82E+11;45260;170;82530;45260;1000;4;1
25.04.2014;177;177;175;177;17664921466;9550;160;16870;9550;1000;2;0
23.04.2014;161;169;161;169;1.69E+11;754180;320;1274350;754180;1000;8;8
22.04.2014;162;162;15;161;1.56E+11;451020;620;701940;451020;1000;12;-1
21.04.2014;158;158;144;155;1.53E+11;323640;740;494660;323640;1000;14;-3
17.04.2014;15;151;15;151;1.51E+11;43000;180;64770;43000;1000;1;1
16.04.2014;144;144;139;144;1.44E+11;492140;850;708530;492140;1000;5;0
15.04.2014;139;139;139;139;139;40000;530;55600;40000;1000;0;0
11.04.2014;135;135;129;133;1.33E+11;724020;330;962380;724020;1000;6;-2
10.04.2014;123;129;119;129;1.22E+11;68030;390;83040;68030;1000;1;6
09.04.2014;135;135;123;123;1.31E+11;604090;710;793030;1208180;1000;12;-12
07.04.2014;135;135;129;129;1.33E+11;35050;100;46720;70100;1000;6;-6
04.04.2014;135;136;135;135;1.35E+11;1502190;220;2027950;1502190;1000;1;0
03.04.2014;144;144;132;136;1.36E+11;55030;100;74840;55030;1000;12;-8
02.04.2014;128;138;128;138;1.36E+11;622230;480;847380;622230;1000;1;1
01.04.2014;135;138;131;134;1351;NaN;360;40530;30000;1000;7;-1
31.03.2014;14;14;132;137;1.37E+11;485500;390;664460;485500;1000;8;-3
28.03.2014;13;139;129;138;1.29E+11;758180;350;979850;758180;1000;1;8
27.03.2014;132;143;132;135;1.37E+11;445260;650;609970;445260;1000;11;3
26.03.2014;139;14;128;138;1.31E+11;731910;1250;956370;731910;1000;12;-1
25.03.2014;134;147;134;134;1.37E+11;274200;560;375140;274200;1000;13;0
24.03.2014;132;142;132;141;1.34E+11;417660;340;561320;417660;1000;1;9
22.03.2014;141;146;134;138;1.40E+11;239250;1300;334960;239250;1000;12;-3
21.03.2014;14;141;14;14;1.40E+11;205000;350;287500;205000;1000;1;0
20.03.2014;147;156;147;147;1.50E+11;576000;2380;862720;576000;1000;9;0
19.03.2014;147;161;147;154;1.54E+11;212560;1900;326900;212560;1000;14;7
18.03.2014;157;158;152;154;1.54E+11;9500;1110;14640;9500;1000;6;-3
14.03.2014;157;168;157;159;1.58E+11;68100;1740;107280;68100;1000;11;2
13.03.2014;173;173;16;165;16500833135;42010;240;69320;42010;1000;13;-8
12.03.2014;161;171;161;168;1.62E+11;178200;1150;288120;178200;1000;1;7
11.03.2014;16;173;159;169;1.65E+11;106410;1700;175250;106410;1000;14;9
10.03.2014;16;175;159;167;1.62E+11;109170;1430;176780;109170;1000;16;7
07.03.2014;16;17;16;167;1.62E+11;51610;970;NaN;51610;1000;1;7
06.03.2014;168;18;168;168;1.78E+11;559100;1400;993250;559100;1000;12;0
05.03.2014;164;18;164;176;1.74E+11;294510;900;512510;294510;1000;16;12
04.03.2014;181;182;172;172;1.80E+11;87670;1150;157680;87670;1000;1;-9
03.03.2014;193;193;176;181;1.81E+11;15800;650;28620;15800;1000;17;-12
28.02.2014;185;195;185;185;1.85E+11;36110;890;66810;36110;1000;1;0
26.02.2014;196;205;194;194;1.94E+11;172550;1040;335400;172550;1000;11;-2
25.02.2014;196;214;196;204;1.99E+11;54620;1020;108890;54620;1000;18;8
24.02.2014;208;208;191;206;2.02E+11;81500;1930;164960;81500;1000;17;-2
21.02.2014;208;208;20;20;20;10010;20;20020;10010;1000;8;-8
20.02.2014;21;21;20;208;2.05E+11;2220;440;4560;2220;1000;1;-2
19.02.2014;194;21;194;20;1.94E+11;20020;30;38840;20020;1000;16;6
;204;204;204;204;NaN;5000;10;NaN;5000;1000;0;0
14.02.2014;197;199;197;199;1.97E+11;2250;20;4430;2250;NaN;2;2
13.02.2014;20;20;20;20;20;36000;90;72000;36000;1000;0;0
12.02.2014;191;20;191;20;1.92E+11;107150;560;205300;107150;1000;9;9
11.02.2014;216;216;197;20;2.01E+11;4300;350;8650;4300;1000;19;-16
10.02.2014;207;207;207;207;207;2000;20;4140;2000;1000;0;0
07.02.2014;NaN;217;217;217;20;10;10;20;10;1000;0;0
06.02.2014;215;215;215;215;20;50;10;100;50;1000;0;0
05.02.2014;219;219;199;209;20;27120;580;54240;27120;1000;2;-1
04.02.2014;NaN;21;NaN;209;NaN;25910;170;52800;25910;1000;1;-1
03.02.2014;213;213;195;206;2.01E+11;114610;1080;230150;114610;1000;18;-7
31.01.2014;214;214;196;203;1.99E+11;17100;540;34070;17100;1000;18;-11
30.01.2014;206;206;206;206;20;100;10;200;100;1000;0;0
29.01.2014;202;208;192;197;1.96E+11;18190;910;NaN;18190;1000;16;-5
28.01.2014;202;202;202;202;202;500;10;1010;500;1000;0;0
27.01.2014;191;204;188;20;1.95E+11;71600;720;139450;71600;1000;16;9
24.01.2014;198;199;184;197;1.95E+11;225010;930;439740;225010;1000;15;-1
23.01.2014;177;194;177;193;1.88E+11;14350;110;26930;14350;1000;17;16
22.01.2014;182;186;182;186;1.85E+11;256420;430;474040;256420;1000;4;4
21.01.2014;166;18;166;178;1.71E+11;216000;260;370370;216000;1000;14;12
20.01.2014;174;174;174;174;174;11000;20;19140;11000;1000;0;0
17.01.2014;197;197;183;183;1.86E+11;115150;980;214700;115150;1000;14;-14
16.01.2014;181;194;18;192;1.85E+11;54000;630;100070;54000;1000;14;11
15.01.2014;185;196;183;188;1.88E+11;53310;910;100270;53310;1000;13;3
14.01.2014;184;197;184;19;1.89E+11;83320;720;157230;83320;1000;13;6
13.01.2014;192;193;19;193;1.90E+11;70700;160;134660;70700;1000;3;1
10.01.2014;184;184;184;184;18399106478;107440;320;197680;107440;1000;0;0
09.01.2014;178;178;167;176;1.71E+11;181550;1620;309570;181550;1000;11;-2
08.01.2014;172;172;17;17;1.71E+11;149440;820;255570;149440;1000;2;-2
07.01.2014;162;168;155;164;NaN;103650;1910;169190;103650;1000;13;2
06.01.2014;16;165;152;162;1.58E+11;84710;NaN;134240;84710;1000;13;2
03.01.2014;158;158;158;158;158;63000;180;99540;63000;1000;0;0
02.01.2014;151;151;151;151;151;15000;30;22650;15000;1000;0;0
01.01.2014;144;144;144;144;144;47500;100;68400;47500;1000;0;0
31.12.2013;139;139;137;138;1.38E+11;34010;40;46950;34010;1000;2;-1
30.12.2013;129;134;129;133;1.30E+11;163100;190;211880;163100;1000;5;4
27.12.2013;129;129;129;129;NaN;124000;100;159960;124000;1000;0;0
26.12.2013;14;14;135;135;1.36E+11;43000;80;58300;43000;1000;5;-5
24.12.2013;134;14;134;138;1.38E+11;19220;110;26500;19220;1000;6;4
23.12.2013;135;135;135;135;1.35E+11;4010;70;5410;4010;1000;0;0
20.12.2013;134;134;132;133;1.33E+11;15000;80;19990;15000;1000;2;-1
19.12.2013;132;134;126;131;1.31E+11;65000;150;85120;65000;1000;8;-1
18.12.2013;125;135;125;131;1.26E+11;473620;580;596900;473620;1000;1;6
17.12.2013;131;131;131;131;1.31E+11;2010;20;2630;2010;1000;0;0
16.12.2013;133;133;122;128;1.27E+11;36060;120;45900;36060;1000;11;-5
13.12.2013;12;13;12;127;1.23E+11;106610;190;131180;106610;1000;1;7
12.12.2013;135;135;123;126;12624484222;681010;530;NaN;681010;1000;12;-9
11.12.2013;13;135;129;129;1.31E+11;117100;180;153880;117100;NaN;6;-1
10.12.2013;13;135;13;135;1.31E+11;30990;70;40630;30990;1000;5;5
09.12.2013;135;135;126;133;1.33E+11;93780;130;124770;93780;1000;9;-2
06.12.2013;13;135;126;129;1.28E+11;135000;240;172870;135000;1000;9;-1
05.12.2013;139;14;13;13;1.30E+11;115100;120;149950;115100;1000;1;-9
04.12.2013;138;138;126;135;1.27E+11;61970;230;79000;61970;1000;12;-3
03.12.2013;133;133;126;132;1.29E+11;281410;700;362800;281410;1000;7;-1
02.12.2013;129;129;124;128;1.27E+11;67100;190;85450;67100;1000;5;-1
29.11.2013;134;134;122;129;1.30E+11;39690;230;51590;39690;1000;12;-5
28.11.2013;132;137;128;128;1.30E+11;64310;450;83810;64310;1000;9;-4
27.11.2013;141;141;131;133;1.34E+11;29350;290;39250;29350;1000;1;-8
26.11.2013;141;144;135;137;1.37E+11;26590;130;36360;26590;1000;9;-4
25.11.2013;144;144;14;141;1.42E+11;130630;320;185130;130630;1000;4;-3
22.11.2013;141;141;132;139;1.37E+11;25460;300;34880;25460;1000;9;-2
21.11.2013;138;138;136;136;1.38E+11;65390;210;90000;65390;1000;2;-2
20.11.2013;135;146;134;143;1.41E+11;114630;640;NaN;94620;8254;12;8
19.11.2013;144;144;133;14;1.37E+11;NaN;260;88900;61000;9383;11;-4
18.11.2013;135;14;129;138;1.37E+11;194610;590;266290;146500;7528;11;3
14.11.2013;145;145;134;135;1.36E+11;117960;340;160020;89810;7614;11;-1
13.11.2013;133;141;133;14;1.40E+11;247190;1030;344940;225000;9102;8;7
12.11.2013;145;145;134;137;1389261014;183630;1060;255110;144330;786;11;-8
11.11.2013;138;139;134;139;1.39E+11;136780;420;189890;132670;970;5;1
08.11.2013;133;133;13;133;13268880482;285480;730;378800;270310;9469;3;0
07.11.2013;127;127;127;127;1.27E+11;67500;170;85720;67500;1000;0;0
06.11.2013;121;121;121;121;1.21E+11;89750;160;108590;89750;1000;0;0
05.11.2013;116;116;116;116;1.16E+11;344310;420;399390;340300;9884;0;0
03.11.2013;111;111;111;111;111;13000;70;14430;13000;1000;0;0
01.11.2013;106;106;104;106;1.06E+11;136050;380;144010;136050;1000;2;0
31.10.2013;10;101;NaN;101;9.79E+11;1005480;1290;984370;801050;7967;8;1
30.10.2013;106;107;97;97;9865778158;2220950;2250;2191140;1273900;5736;1;-9
29.10.2013;109;109;99;102;1.02E+11;804260;2700;818090;425060;5285;1;-7
28.10.2013;108;109;10;104;1.02E+11;562090;NaN;574940;471240;8384;9;-4
25.10.2013;105;115;105;105;1.05E+11;402350;1300;423820;299750;745;1;0
24.10.2013;12;12;11;11;1.13E+11;290150;460;326440;228150;7863;1;-1
23.10.2013;115;126;115;115;1.16E+11;408190;890;473940;285140;6985;11;0
22.10.2013;121;13;119;12;1.22E+11;481810;2870;586130;375780;7799;11;-1
21.10.2013;124;133;122;125;1.24E+11;164110;1880;202990;133100;811;11;1
18.10.2013;13;14;128;128;1.28E+11;132990;1090;170620;132440;9959;12;-2
17.10.2013;148;148;134;134;1.34E+11;55440;480;74410;55100;9939;14;-14
15.10.2013;143;153;141;141;1.41E+11;38100;190;53840;35070;9205;12;-2
14.10.2013;143;155;142;148;1.43E+11;88410;650;126530;78520;8881;13;5
11.10.2013;155;156;142;149;1.47E+11;204800;1720;301140;121960;5955;14;-6
10.10.2013;15;15;142;149;1.47E+11;34360;220;50640;33350;9706;8;-1
09.10.2013;162;162;149;149;1.51E+11;197730;5310;297760;152310;7703;13;-13
08.10.2013;169;169;153;156;1.56E+11;126470;1930;197850;80730;6383;16;-13
07.10.2013;166;166;152;161;1.59E+11;88620;960;140890;NaN;5422;14;-5
04.10.2013;172;172;156;159;1.63E+11;128580;1250;209740;109220;8494;16;-13
03.10.2013;175;175;162;164;1.63E+11;11780;480;19260;11550;9805;13;-11
01.10.2013;179;179;163;167;1.63E+11;108550;830;177410;92250;8498;16;-12
30.09.2013;178;178;164;171;1.64E+11;5350;60;8800;5250;9813;14;-7
26.09.2013;177;177;161;172;1.61E+11;5030;40;8100;5020;998;16;-5
25.09.2013;185;185;169;169;1.71E+11;65310;240;111390;65100;9968;16;-16
24.09.2013;188;188;173;177;1.73E+11;1048640;540;1815300;1019000;9717;15;-11
23.09.2013;188;188;182;182;1.83E+11;35070;70;64320;35000;998;6;-6
20.09.2013;186;186;17;183;1.70E+11;674530;370;1146830;674530;1000;16;-3
19.09.2013;182;182;17;178;1.76E+11;10700;30;18870;10700;1000;12;-4
18.09.2013;175;175;174;174;1.74E+11;101020;50;175770;101010;9999;1;-1
17.09.2013;169;169;169;169;1.69E+11;2200;60;3710;1100;500;0;0
16.09.2013;157;171;157;168;1.64E+11;115200;720;188600;62610;5435;14;11
13.09.2013;172;172;165;165;1.67E+11;66180;380;110270;47160;7126;7;-7
12.09.2013;18;182;168;173;1.73E+11;41060;360;71010;29040;7073;14;-7
11.09.2013;184;184;174;174;1.81E+11;95020;90;172130;95020;1000;1;-1
10.09.2013;182;182;17;177;1.73E+11;216470;630;375290;185050;8549;12;-5
06.09.2013;186;186;17;175;1.76E+11;53910;290;94790;48520;900;16;-11
05.09.2013;18;18;174;178;1771875;32000;140;56700;19450;6078;6;-2
04.09.2013;177;177;177;177;17;100;10;170;100;1000;0;0
03.09.2013;174;174;174;174;174;27500;80;47850;27500;1000;0;0
02.09.2013;175;175;175;175;1.75E+11;3500;50;6120;3500;1000;0;0
30.08.2013;173;175;173;175;1.73E+11;4130;100;7140;4120;9976;2;2
29.08.2013;175;18;175;176;1.77E+11;39860;330;70480;22000;5519;5;1
28.08.2013;174;178;173;178;1.75E+11;136830;420;239790;103500;7564;5;4
